# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20240806-20240820
# ----------------------------------------

Clicked Batchcode,Country,Region,City,Event count
,,,,39619,Grand total
(not set),Australia,Western Australia,Albany,1
(not set),Chile,Antofagasta,Antofagasta,1
(not set),Chile,Araucania,Temuco,1
(not set),Denmark,Capital Region of Denmark,Ballerup,1
(not set),Germany,Hessen,Lich,1
(not set),Germany,Lower Saxony,Norden,1
(not set),Germany,Mecklenburg-Vorpommern,Greifswald,1
(not set),Greece,Decentralized Administration of Macedonia and Thrace,Panorama,1
(not set),Indonesia,Jakarta,11740,1
(not set),Japan,Chiba,Tateyama,1
(not set),Mexico,Coahuila,Piedras Negras,1
(not set),Netherlands,Utrecht,Utrecht,1
(not set),Portugal,Coimbra District,Coimbra,1
(not set),South Korea,Ulsan,Ulsan,1
(not set),Sweden,Vasterbotten County,(not set),1
(not set),Switzerland,Obwalden,Sarnen,1
(not set),Taiwan,Keelung City,(not set),1
(not set),United States,California,Copperopolis,1
(not set),United States,California,Delano,1
(not set),United States,California,Placerville,1
(not set),United States,California,Ridgecrest,1
(not set),United States,Florida,North Port,1
(not set),United States,Florida,Palatka,1
(not set),United States,Georgia,(not set),1
(not set),United States,Georgia,Pooler,1
(not set),United States,Illinois,Clinton,1
(not set),United States,Illinois,Robinson,1
(not set),United States,Indiana,Paoli,1
(not set),United States,Kentucky,London,1
(not set),United States,Massachusetts,Holyoke,1
(not set),United States,Michigan,Hastings,1
(not set),United States,Mississippi,Hattiesburg,1
(not set),United States,North Carolina,Troy,1
(not set),United States,Ohio,Coshocton,1
(not set),United States,Ohio,Washington Court House,1
(not set),United States,Pennsylvania,Coatesville,1
(not set),United States,Tennessee,Jefferson City,1
(not set),United States,Tennessee,McKenzie,1
(not set),United States,Texas,Dumas,1
(not set),United States,Texas,Trinity,1
(not set),United States,Utah,Vernal,1
000004A,Italy,Piedmont,Nichelino,1
000014A,France,Auvergne-Rhone-Alpes,(not set),1
000014A,United Kingdom,England,Newcastle upon Tyne,1
000014A,United States,Texas,Hitchcock,1
000021A,Japan,Fukuoka,Onojo,1
000029A,United Kingdom,England,London,1
000038A,Algeria,Blida Province,Blida,1
000050A,Australia,Victoria,Melbourne,1
000054A,Italy,Marche,Macerata,1
000054A,Romania,Bucharest,Bucharest,1
000057A,Lithuania,Vilnius County,Vilnius,1
000059A,United Kingdom,England,London,1
000073A,Germany,Bavaria,Dachau,1
000074A,Germany,Schleswig-Holstein,Itzehoe,1
000088A,Germany,Baden-Wurttemberg,Tubingen,1
000088A,Germany,Saxony,Dresden,1
000105A,Germany,Berlin,Berlin,1
000106A,Germany,Hamburg,Hamburg,1
000109A,Germany,North Rhine-Westphalia,Elsdorf,1
000110A,United States,Florida,Tampa,1
000112A,Germany,Rhineland-Palatinate,Mainz,1
000114A,Germany,Hamburg,Hamburg,1
000120A,Germany,Lower Saxony,Hanover,1
000130A,Germany,Bavaria,Memmingen,1
000130A,Germany,North Rhine-Westphalia,(not set),1
000130A,Hungary,Borsod-Abauj-Zemplen,(not set),1
000133A,Germany,Brandenburg,Senftenberg,1
000135A,France,(not set),(not set),1
000135A,Germany,North Rhine-Westphalia,Monchengladbach,1
000141A,Germany,Hamburg,Hamburg,1
0001A21A,United States,Mississippi,Grenada,1
000204A,Japan,Hokkaido,Sapporo,1
000234A,Canada,Nova Scotia,(not set),1
000477A,United Kingdom,England,London,1
0012M20A,United States,Florida,Orlando,1
0012M20A,United States,Massachusetts,Rockport,1
001A21A,United States,California,Chino Hills,1
001B21A,United States,Illinois,Chicago,1
001B21A,United States,Washington,Seattle,1
001B21A,United States,Washington,Tacoma,1
001C21A,United States,California,Delano,1
002A21A,United States,Oregon,Portland,1
002C12A,United States,Washington,Seattle,1
00321A,Canada,Quebec,Chateauguay,1
0033B21A,United States,Pennsylvania,Dallas,1
003A21A,United States,Connecticut,East Haddam,1
003A21A,United States,Georgia,Tucker,1
003A21A,United States,Massachusetts,Boston,1
003A21A,United States,Mississippi,Wiggins,1
003B21A,United States,California,Chino Hills,1
003K21-2A,United States,Nebraska,Holdrege,1
003K212A,United States,Nebraska,Holdrege,1
003K21A,United States,Nebraska,Holdrege,1
004021A,United States,Georgia,Newnan,1
0044B21A,United States,Massachusetts,Boston,1
004C21A,United States,Hawaii,Honolulu,1
004C21A,United States,Hawaii,Laie,1
004C21A,United States,Hawaii,Pearl City,1
004M20,United States,New Jersey,Hillsborough Township,1
004M20A,United States,New York,New York,1
004M21A,United States,Oregon,Portland,1
004MZ0A,United States,New York,New York,1
005M21A-MODERNA,United States,New York,New York,1
006B21A,United States,Florida,Jacksonville Beach,1
006B21A,United States,Massachusetts,Medfield,1
006B21A,United States,Massachusetts,Norfolk,1
006C21A,United States,California,Menlo Park,1
006C21A,United States,California,Patterson,1
006C21A,United States,Michigan,Union charter Township,1
006D21A,United States,California,Oceanside,1
006D21A,United States,California,Thousand Oaks,1
006D21A,United States,Idaho,Coeur d'Alene,1
006D21A,United States,Nevada,Gerlach,1
006D21A,United States,New York,New York,1
007B21A,United States,Pennsylvania,Linglestown,1
007B21A,United States,Pennsylvania,Penn Hills,1
007C21A,United States,Georgia,Atlanta,1
007C21A,United States,Virginia,Ashburn,1
007G21A,Germany,North Rhine-Westphalia,Alpen,1
007J21A,United States,New York,New York,1
007M20A,United States,Nevada,Reno,1
007M20A,United States,Oregon,Portland,1
007M2OA,United States,California,Los Angeles,1
00821A,United States,Missouri,Festus,1
008B21A,United States,District of Columbia,Washington,1
008C21A,Spain,Balearic Islands,Ibiza,1
008C21A,United States,Kansas,Lawrence,1
009C21A,United States,Kentucky,Murray,1
009C21A,United States,Maryland,Cumberland,1
010A21A,United States,Georgia,Gumlog,1
010A21A,United States,Pennsylvania,Philadelphia,1
010M20A,United States,Hawaii,Kapaa,1
010M20A,United States,Texas,Roanoke,1
011A21A,United States,California,Los Angeles,1
011A21A,United States,Ohio,Bryan,1
011A21A,United States,Virginia,Portsmouth,1
011B22A-MODERNA,Argentina,Buenos Aires Province,Florencio Varela,1
011D21A,United States,Texas,(not set),1
011J20A,United States,California,Portola,1
011L20A,United States,Connecticut,(not set),1
011L20A,United States,Florida,Hialeah,1
011M20A,United States,California,Los Angeles,1
012120A,Netherlands,North Brabant,Eindhoven,1
0121L20A,Netherlands,North Brabant,Eindhoven,1
012220A,United States,Wisconsin,Madison,1
012A21A,United States,Connecticut,East Haddam,1
012A21A,United States,Florida,Country Club,1
012A21A,United States,Ohio,Middlefield,1
012AZ1A,United States,Connecticut,East Haddam,1
012H21B-MODERNA,Egypt,Giza Governorate,El Sheikh Zayed City,1
012H21B-MODERNA,Italy,Piedmont,Turin,1
012H21B-MODERNA,Romania,Hunedoara,Deva,1
012H21B-MODERNA,Romania,Prahova,(not set),1
012H21B-MODERNA,United States,Tennessee,Nashville,1
012L20A,United States,Connecticut,Stamford,1
012L20A,United States,Florida,(not set),1
012L20A,United States,Massachusetts,Orleans,1
012L20A,United States,Tennessee,Johnson City,1
012L20A,United States,West Virginia,Logan,1
012M20A,United States,Massachusetts,Boston,1
012M20A,United States,Massachusetts,Orleans,1
012M20A,United States,New Jersey,Brielle,1
012M20A,United States,Texas,Roanoke,1
012M20A,United States,Texas,San Augustine,1
012M2OA,United States,Florida,Miami,1
012M2OA,United States,Massachusetts,Rockport,1
0131420A,United States,California,Los Angeles,1
013A21A,United States,Washington,(not set),1
013B22A,United States,Hawaii,Kapaa,1
013F21A,Italy,Lombardy,Milan,1
013F21A,United States,Pennsylvania,Linglestown,1
013H21B,United States,California,Ridgecrest,1
013L20A,United States,Michigan,Chesaning,1
013L20A,United States,New York,New York,1
013LZOA,United States,Ohio,Harrison,1
013M20A,United States,New York,New York,1
014822A,United States,Illinois,Chicago,1
014B22A,United Kingdom,England,(not set),1
014B22A-MODERNA,United States,Oklahoma,Tulsa,1
014F21A,United States,Georgia,Atlanta,1
014F21A,United States,Michigan,Three Rivers,1
014F21A,United States,Ohio,Kenton,1
014F21A,United States,Texas,Dallas,1
014M2OA,United States,Nevada,Las Vegas,1
015H22A,United States,Florida,New Port Richey East,1
015M20A,United States,Illinois,Chicago,1
016B21A,United States,Michigan,Plainfield charter Township,1
016B21A,United States,Pennsylvania,Philadelphia,1
016B21A,United States,Texas,Harlingen,1
016B22A,United States,California,Chino Hills,1
016C21A,United States,Washington,Seattle,1
016E21A,Canada,British Columbia,Vancouver,1
