# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20241207-20241208
# ----------------------------------------

Clicked Batchcode,Country,Region,Town/City,Event count
,,,,6770,Grand total
(not set),Canada,Ontario,St. Catharines,1
(not set),France,Bourgogne-Franche-Comte,Macon,1
(not set),Germany,Bavaria,Bad Neustadt an der Saale,1
(not set),Germany,Bavaria,Rosenheim,1
(not set),Germany,Hessen,Limburg,1
(not set),Germany,Lower Saxony,Meppen,1
(not set),Germany,Lower Saxony,Salzgitter,1
(not set),Germany,Rhineland-Palatinate,Koblenz,1
(not set),Hungary,Csongrad,6774,1
(not set),Sweden,Norrbotten County,Pitea,1
(not set),Sweden,Vastra Gotaland County,Boras,1
(not set),United States,Maine,Kingfield,1
(not set),United States,New York,Brookhaven,1
000022A,United Kingdom,England,Bristol,1
000033BA,United States,New York,New York,1
000076A,United States,New York,New York,1
000091A,Germany,Baden-Wurttemberg,Tubingen,1
000106A,Germany,North Rhine-Westphalia,Essen,1
000130A,Germany,Hessen,Bad Soden,1
000132A,Germany,Baden-Wurttemberg,Stuttgart,1
001A21A,United States,New York,New York,1
002B,United States,California,Los Altos,1
002B12A,United States,California,Los Altos,1
002B214,United States,California,Los Altos,1
002B21A,United States,California,Los Altos,1
002BZ1A,United States,California,Los Altos,1
002CZ1A,United States,Wisconsin,Milwaukee,1
002F21A,United States,North Carolina,(not set),1
003021A,United States,California,Oakland,1
003B12A,Portugal,Setubal,Montijo,1
005C21A,United States,Ohio,Columbus,1
006B21A,United States,Florida,(not set),1
006M20A,United States,California,Long Beach,1
009C21A,United States,Pennsylvania,Philadelphia,1
00B21A,United States,Texas,Dallas,1
010A21A,United States,California,Los Angeles,1
010M201A,United States,Oklahoma,Duncan,1
010M20A,United States,Virginia,Ashburn,1
014C211A,United States,California,Los Altos,1
014C21A,United States,California,Los Altos,1
014C21A-H,United States,California,Los Altos,1
016M20A,United States,Massachusetts,Boston,1
016M2OA,United States,Massachusetts,Boston,1
017C21A,United States,Illinois,Chicago,1
019B21A,Italy,Veneto,(not set),1
020B21A,United States,Pennsylvania,Philadelphia,1
020H22A,United States,Washington,Seattle,1
022021A,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,1
022C21A,United States,Pennsylvania,Philadelphia,1
022C21A,United States,Virginia,Ashburn,1
023C21A,Italy,Veneto,(not set),1
0242A21A,United States,Colorado,Parker,1
024M020A,United States,Oklahoma,Duncan,1
024M204,United States,Oklahoma,Duncan,1
024M2OA,United States,Michigan,Plainfield charter Township,1
025J20-2A,United States,Colorado,Parker,1
025L20A,United States,Texas,Dallas,1
026L20A,United States,New Jersey,Toms River,1
026L2OA,United States,New Jersey,Toms River,1
029A21A,United States,Pennsylvania,Philadelphia,1
029L20A,United States,Illinois,Chicago,1
030220A,United States,Oklahoma,Duncan,1
030B21A ,United States,Wisconsin,Milwaukee,1
030L20A,United States,Colorado,Parker,1
033B21A,United States,Texas,Dallas,1
036C21A,United States,Texas,Dallas,1
037A21B,United States,California,San Jose,1
037A22B,United States,California,San Jose,1
037A22B-MODERNA,United States,California,San Jose,1
037K20A,United States,California,Long Beach,1
039A21A,United States,California,Oakland,1
03K20A,United States,California,Los Angeles,1
041L20A,United States,Illinois,Chicago,1
043D21A,Canada,British Columbia,Prince George,1
044A21A,United States,Michigan,Plainfield charter Township,1
045D21A,Canada,British Columbia,Parksville,1
045G21A,Netherlands,Utrecht,Utrecht,1
045J21A,Italy,Veneto,(not set),1
048A,United States,California,Oakland,1
048L21A,United States,Washington,Seattle,1
052C21A,Canada,British Columbia,Prince George,1
052C21A,United States,Washington,Seattle,1
057F22A,United States,Washington,Seattle,1
058A21A,United States,California,Los Altos,1
058A22-2A,United States,California,Los Altos,1
058A22-2A-MODER,United States,California,Los Altos,1
058A22A,United States,California,Los Altos,1
058E,United States,California,Los Altos,1
058E21A,United States,California,Los Altos,1
058EZIA,United States,California,Los Altos,1
059E21A,United States,Texas,Dallas,1
060H21A-MODERNA,United States,Colorado,Parker,1
060H21H,United States,Colorado,Parker,1
063H21A,Canada,Ontario,Toronto,1
063H21A,Canada,Ontario,Windsor,1
083521A,United States,Washington,Seattle,1
