# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20231110-20231114
# ----------------------------------------

Clicked Batchcode,Country,Region,City,Event count
,,,,20048,Grand total
,Argentina,Buenos Aires Province,,1
,Canada,British Columbia,Smithers,1
,Canada,Quebec,Laval,1
,Finland,Pirkanmaa,Pirkkala,1
,Germany,Bavaria,Kulmbach,1
,Germany,Brandenburg,Erkner,1
,Germany,Hessen,Darmstadt,1
,Germany,Hessen,Hanau,1
,Germany,Lower Saxony,Hanover,1
,Germany,Lower Saxony,Norden,1
,Germany,North Rhine-Westphalia,Marl,1
,Germany,North Rhine-Westphalia,Mechernich,1
,Germany,Schleswig-Holstein,Flensburg,1
,Germany,Thuringia,Greiz,1
,Mexico,Tabasco,Villahermosa,1
,Netherlands,South Holland,Rhoon,1
,Norway,Oslo,Oslo Municipality,1
,Thailand,Uttaradit,,1
,United Kingdom,England,Reading,1
,United States,California,Frazier Park,1
,United States,California,San Diego,1
,United States,Florida,Jacksonville,1
,United States,Florida,North Naples,1
,United States,Florida,Spring Hill,1
,United States,Georgia,Milledgeville,1
,United States,Illinois,,1
,United States,Kentucky,Mount Vernon,1
,United States,Maine,Bucksport,1
,United States,Texas,Eastland,1
,United States,Virginia,Dahlgren,1
,United States,Washington,Edmonds,1
#006B21A,United States,Massachusetts,Boston,1
#006B21A,United States,Texas,Dallas,1
#011M20A,United States,New Hampshire,Keene,1
#EN6202,United States,Wisconsin,Milwaukee,1
#EP7534,United States,Georgia,Atlanta,1
#EP7534,United States,Pennsylvania,Munhall,1
#EP7534,United States,Tennessee,Lenoir City,1
#ER2613,United States,Wisconsin,Milwaukee,1
#EW0172,United States,Georgia,Atlanta,1
(not set),Canada,British Columbia,Kimberley,1
(not set),Canada,British Columbia,Trail,1
(not set),Canada,Ontario,Blind River,1
(not set),Canada,Ontario,Carleton Place,1
(not set),Canada,Ontario,Midland,1
(not set),Canada,Quebec,Blanc-Sablon,1
(not set),France,Nouvelle-Aquitaine,Agen,1
(not set),Germany,Bavaria,Rosenheim,1
(not set),Germany,Saxony,Wurzen,1
(not set),Japan,Hiroshima,Mihara,1
(not set),Japan,Kagoshima,Kagoshima,1
(not set),Mexico,Nuevo Leon,Monterrey,1
(not set),Sweden,Vastra Gotaland County,Boras,1
(not set),United States,Alaska,Homer,1
(not set),United States,California,Barstow,1
(not set),United States,California,Fontana,1
(not set),United States,Connecticut,Clinton,1
(not set),United States,Florida,Bradenton,1
(not set),United States,Florida,Tallahassee,1
(not set),United States,Georgia,Madison,1
(not set),United States,Georgia,Nashville,1
(not set),United States,Idaho,Moscow,1
(not set),United States,Illinois,Marion,1
(not set),United States,Indiana,Lawrenceburg,1
(not set),United States,Michigan,Fremont,1
(not set),United States,Missouri,Festus,1
(not set),United States,Montana,Circle,1
(not set),United States,Nebraska,Tekamah,1
(not set),United States,New York,Glens Falls,1
(not set),United States,New York,Oneonta,1
(not set),United States,New York,Oswego,1
(not set),United States,North Carolina,Roanoke Rapids,1
(not set),United States,Ohio,Ashland,1
(not set),United States,Ohio,Canton,1
(not set),United States,Ohio,Lorain,1
(not set),United States,Oklahoma,Grove,1
(not set),United States,Oklahoma,Idabel,1
(not set),United States,Pennsylvania,Slippery Rock,1
(not set),United States,Washington,Eastsound,1
(not set),United States,Washington,Leavenworth,1
(not set),United States,Washington,Quincy,1
(not set),United States,Wisconsin,(not set),1
000001A,Japan,Hokkaido,Fukagawa,1
000004A,Italy,Emilia-Romagna,Bologna,1
000013A,Switzerland,St. Gallen,Wil,1
0000141A,Switzerland,St. Gallen,Wil,1
000014A,United Kingdom,England,London,1
000029A,Switzerland,St. Gallen,Wil,1
000031A,Australia,Victoria,Melbourne,1
000033BA,Peru,Arequipa,Arequipa,1
000043A,Italy,Piedmont,Vercelli,1
000050A,United Kingdom,England,London,1
000076A,Germany,North Rhine-Westphalia,Dusseldorf,1
000077A,Germany,Brandenburg,Prenzlau,1
000077A,Germany,North Rhine-Westphalia,Dusseldorf,1
000077A,Germany,Rhineland-Palatinate,Ludwigshafen,1
000084A,United Kingdom,Scotland,Edinburgh,1
000086A,Germany,Hessen,Frankfurt,1
000086A,Italy,Lombardy,Milan,1
000087A,Indonesia,Aceh,Sampoiniet,1
000087A,Serbia,(not set),Belgrade,1
000105A,Switzerland,St. Gallen,Wil,1
000106A,Germany,North Rhine-Westphalia,Dusseldorf,1
000109A,Germany,Berlin,Berlin,1
000110A,Switzerland,St. Gallen,Wil,1
000114A,Germany,Brandenburg,Luckenwalde,1
000114A,Germany,Brandenburg,Prenzlau,1
000114A,Germany,North Rhine-Westphalia,Dusseldorf,1
000125A,Germany,North Rhine-Westphalia,Lippstadt,1
000128A,Germany,Brandenburg,Prenzlau,1
000128A,Germany,Lower Saxony,Meppen,1
000128A,Germany,Thuringia,Saalfeld,1
000132A,Germany,North Rhine-Westphalia,Dusseldorf,1
000135A,Germany,North Rhine-Westphalia,Dusseldorf,1
000136A,Germany,Brandenburg,Prenzlau,1
000137A,Germany,North Rhine-Westphalia,Lippstadt,1
000141A,Germany,North Rhine-Westphalia,Dusseldorf,1
000142ABS,Netherlands,Limburg,Valkenburg,1
000247A,Japan,Hokkaido,Fukagawa,1
000248A,Japan,Hokkaido,Fukagawa,1
000393A,Peru,Arequipa,Arequipa,1
001021A,Mexico,Jalisco,Guadalajara,1
001421A,United States,California,Bakersfield,1
001A21A,United States,California,Bakersfield,1
001CZ1A,United States,Iowa,Des Moines,1
001F21A,United States,Oklahoma,Checotah,1
002A21A,United States,Michigan,Mancelona,1
002C21A,Australia,New South Wales,Sydney,1
003A21A,United States,California,Pleasanton,1
003A21A,United States,Colorado,Denver,1
003A21A,United States,Florida,Palm Bay,1
003A21A,United States,Idaho,Boise,1
003B21A,United States,Colorado,Denver,1
003B21A,United States,Tennessee,Memphis,1
003C21A,United States,California,Los Angeles,1
0044A21A,United States,Arkansas,Camden,1
004B21A,United States,Connecticut,Middletown,1
004C21A,United States,California,Los Angeles,1
004C21A,United States,Massachusetts,Boston,1
004C21A,United States,New York,New York,1
005C21A,United States,Florida,North Fort Myers,1
006821A,United States,California,Diamond Bar,1
006B21A,United States,Texas,Dallas,1
006C21A,United States,New Mexico,Santa Fe,1
006C21A,United States,New York,New York,1
006D21A,United States,Georgia,Atlanta,1
006M20A,United States,Colorado,Denver,1
006M21A,United States,Illinois,Chicago,1
007621A,United States,Mississippi,Cleveland,1
007B21A,United States,Connecticut,Middletown,1
007B21A,United States,Georgia,Madison,1
007B21A,United States,New York,New York,1
007C21A,United States,Ohio,Belpre,1
007D21A,United States,Arizona,(not set),1
007G21A,Italy,Lombardy,Milan,1
007J212A,United States,California,Dorris,1
007M20A,United States,Illinois,Chicago,1
007M20A,United States,Texas,Euless,1
008B21A,United States,Texas,Dallas,1
008C21A,United States,North Dakota,Dickinson,1
008C21A,United States,Oklahoma,Checotah,1
008D21A,United States,Indiana,Portland,1
008G21A,Italy,Campania,Naples,1
009C21A,Japan,Fukuoka,Fukuoka,1
009D21A,United States,Arizona,(not set),1
009D21A,United States,New York,New York,1
01021A,Mexico,Jalisco,Guadalajara,1
010M20A,United States,Alabama,(not set),1
010M20A,United States,Virginia,Ashburn,1
011A21A,United States,Florida,(not set),1
011B22A,United States,Washington,Seattle,1
011F21A,United States,Alaska,Ketchikan,1
011J20A,Australia,New South Wales,Bathurst,1
011J20A,Czechia,Prague,Prague,1
011J20A,Germany,Hamburg,Hamburg,1
011J20A,Norway,Viken,Halden Municipality,1
011J20A,United States,Michigan,Fremont,1
011J20A,United States,New York,New York,1
011J20A,United States,Pennsylvania,Bethlehem,1
011J2OA,United States,Florida,(not set),1
011JZ0A,United States,District of Columbia,Washington,1
011L20A,Australia,New South Wales,Sydney,1
011L20A,United States,Florida,Melbourne,1
011L20A,United States,Montana,Stevensville,1
011LZ0A,United States,Colorado,Fruita,1
011M2019,United States,New Hampshire,Keene,1
011M204,United States,New Hampshire,Keene,1
011M20A,United States,Florida,North Fort Myers,1
011M21A,United States,New Hampshire,Keene,1
