# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20231026-20231104
# ----------------------------------------

Clicked Batchcode,Country,Region,City,Event count
,,,,41042,Grand total
,Canada,Ontario,Norwich,1
,Chile,Santiago Metropolitan Region,Santiago,1
,Germany,Lower Saxony,Wunstorf,1
,Germany,Mecklenburg-Vorpommern,,1
,Germany,Thuringia,Neuhaus am Rennweg,1
,Italy,Campania,Benevento,1
,Netherlands,Overijssel,Enschede,1
,United States,Georgia,Eatonton,1
,United States,Virginia,Covington,1
#011A21A,United States,Florida,St. Petersburg,1
#011A21A,United States,Oklahoma,Tulsa,1
#027B21A,United States,Illinois,Chicago,1
#027B21A,United States,Texas,Houston,1
#028L20A,United States,Illinois,Chicago,1
#030M20A,United States,Illinois,Chicago,1
#032L20A,United States,Virginia,Annandale,1
#032L20A,United States,Washington,Seattle,1
#037K20A,United States,California,Tehachapi,1
#039K20A,United States,Arizona,Phoenix,1
#046A21A,United States,Texas,San Antonio,1
#EN6201,United States,California,Palmdale,1
#EN6204,United States,Virginia,Ashburn,1
#EP6955,Canada,British Columbia,Vancouver,1
#ER2613,United States,Virginia,Gretna,1
#ER8727,United States,Arizona,Phoenix,1
#ER8727,United States,Arkansas,Benton,1
#ER8727,United States,California,(not set),1
#ER8727,United States,Utah,Draper,1
#ER8731,United States,Arkansas,Benton,1
#EW0187,United States,Hawaii,Honolulu,1
#EW0187,United States,Hawaii,Lanai City,1
#FC3180,United States,Florida,Orlando,1
#FC3180,United States,Ohio,Ashland,1
(not set),Austria,Lower Austria,Langenzersdorf,1
(not set),Canada,Alberta,Lacombe,1
(not set),Canada,British Columbia,Creston,1
(not set),Canada,British Columbia,Houston,1
(not set),Canada,British Columbia,Prince Rupert,1
(not set),Canada,New Brunswick,Saint-Quentin,1
(not set),Canada,Quebec,Coaticook,1
(not set),Sweden,Vastra Gotaland County,Lysekil,1
(not set),United States,California,Gustine,1
(not set),United States,California,Mammoth Lakes,1
(not set),United States,California,Oakhurst,1
(not set),United States,California,Placerville,1
(not set),United States,Delaware,Bridgeville,1
(not set),United States,Florida,Live Oak,1
(not set),United States,Georgia,Bainbridge,1
(not set),United States,Georgia,Pooler,1
(not set),United States,Georgia,Villa Rica,1
(not set),United States,Indiana,Brazil,1
(not set),United States,Indiana,New Haven,1
(not set),United States,Indiana,Vincennes,1
(not set),United States,Iowa,Ida Grove,1
(not set),United States,Iowa,Waterloo,1
(not set),United States,Kentucky,Hazard,1
(not set),United States,Maine,Bucksport,1
(not set),United States,Massachusetts,Franklin,1
(not set),United States,Michigan,Hancock,1
(not set),United States,Nebraska,Holdrege,1
(not set),United States,New Mexico,Waterflow,1
(not set),United States,North Carolina,Mount Airy,1
(not set),United States,Ohio,Bowling Green,1
(not set),United States,Ohio,Sandusky,1
(not set),United States,Pennsylvania,Hanover,1
(not set),United States,South Carolina,Anderson,1
(not set),United States,Texas,Merkel,1
(not set),United States,Texas,Quemado,1
(not set),United States,Virginia,Kilmarnock,1
(not set),United States,Washington,Leavenworth,1
000001A,Germany,North Rhine-Westphalia,Bielefeld,1
000005A,Japan,Aichi,Toyokawa,1
000011A,Germany,Saarland,Saarlouis,1
000014A,United Kingdom,Northern Ireland,Belfast,1
000022A,United Kingdom,England,London,1
000029A,Germany,North Rhine-Westphalia,Bielefeld,1
000033A,Italy,Lombardy,Milan,1
000048A,Japan,Kanagawa,Kamakura,1
00004A,Italy,Emilia-Romagna,Bologna,1
000054A,Italy,Marche,Fabriano,1
000061A,Italy,Sicily,Palermo,1
000061A,Philippines,Cordillera Administrative Region,Baguio,1
000073A,Germany,Schleswig-Holstein,Rendsburg,1
000077A,Germany,Hessen,Frankfurt,1
000077A,Germany,Rhineland-Palatinate,Worms,1
000086A,Germany,Lower Saxony,Emden,1
000086A,Germany,Saarland,Volklingen,1
000087A,Germany,Hessen,(not set),1
000087A,Germany,Lower Saxony,(not set),1
000087A,Germany,North Rhine-Westphalia,Dusseldorf,1
000102A,Germany,Baden-Wurttemberg,Gernsbach,1
000103A,Germany,Hamburg,Hamburg,1
000103A,Germany,Saxony,Leipzig,1
000106A,Germany,Bavaria,Weiden in der Oberpfalz,1
000106A,Germany,North Rhine-Westphalia,Bielefeld,1
000109A,Germany,Hessen,Dillenburg,1
000109A,Germany,North Rhine-Westphalia,Paderborn,1
000109A,United Kingdom,England,(not set),1
000110A,United Kingdom,England,(not set),1
000120A,Germany,Hessen,Kassel,1
000120A,Germany,Saarland,Neunkirchen,1
000120A,United Kingdom,England,(not set),1
000121A,Germany,Lower Saxony,Goslar,1
000124A,Germany,Baden-Wurttemberg,Gernsbach,1
000124A,United Kingdom,England,(not set),1
000128A,Germany,Hessen,Bensheim,1
000128A,Germany,North Rhine-Westphalia,Dusseldorf,1
000128A,United Kingdom,England,(not set),1
000130A,Germany,North Rhine-Westphalia,Bad Oeynhausen,1
000130A,Germany,North Rhine-Westphalia,Velbert,1
000132A,Germany,Baden-Wurttemberg,Sulz,1
000132A,Germany,Bavaria,Coburg,1
000132A,Germany,North Rhine-Westphalia,Stolberg (Rhineland),1
000132A,Poland,Pomeranian Voivodeship,Gdynia,1
000133A,Germany,Bavaria,Erlangen,1
000133A,Germany,North Rhine-Westphalia,Dusseldorf,1
000135A,Germany,Bavaria,Coburg,1
000136A,Germany,Hessen,Giessen,1
000137A,Germany,Bavaria,Bamberg,1
000141A,Germany,Lower Saxony,Goslar,1
000151A,Denmark,Capital Region of Denmark,Copenhagen,1
000151A,Germany,North Rhine-Westphalia,Bad Oeynhausen,1
000178A,Netherlands,Limburg,Venlo,1
000211A,United States,Oregon,Portland,1
000214A,Japan,Tokyo,(not set),1
000235A,Japan,Nara,Yamatokoriyama,1
0011A21A,Ireland,County Cork,(not set),1
0011D21A,United States,Michigan,(not set),1
001421A,United States,New Jersey,Hillsdale,1
001A21A,United States,Indiana,Batesville,1
001B211A,United States,Oregon,Portland,1
001B21A,United States,California,Buellton,1
001B21A,United States,Florida,Marco Island,1
001B21A,United States,Michigan,Roscommon,1
001C21A,United States,Missouri,Sullivan,1
001J212A,United States,New York,New York,1
001M21A,United States,Texas,McCamey,1
0028A21A,United States,(not set),(not set),1
002A21A,United States,Arizona,Williams,1
002A21A,United States,Massachusetts,Boston,1
002B21A,United States,Georgia,Braselton,1
002B21A,United States,Texas,Houston,1
