# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Batchcode Search Term
# 20230211-20230411
# ----------------------------------------

Land,United States,Germany,Canada,Italy,United Kingdom,Japan,Brazil,Australia,Poland,Austria,Hungary,Netherlands,Romania,France,Switzerland,Spain,Sweden,Philippines,New Zealand,Mexico,Gesamt
Batchcode Search Term,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl
1F1014A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1F102A,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1F1048A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
1F1C32A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
2/1999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
201AZIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
202106B1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
202A-21A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
209C21A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
210004,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2101052,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
210185,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
210379,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
210382,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
210477,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
210957,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
211065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
211AZIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
214002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
214023,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
214VCD026W,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
215VCD150W,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
217VCD2272,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
218VCD247Z,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
219VCD271Z,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21C11,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3
21C1601,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21C18-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21C18-05,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
21a,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
27214,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
28230BD,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2DF3DXXG,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3001177,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
30016,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
300165,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3001654,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3001939,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
3001941-39,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3001945,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
3002330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
3002335,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
3002544,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
30025TB ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3002618,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3002621,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3002918 3003185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
3003605,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3003654,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3004228,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3004675,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3004734,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3004737,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3004956,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3005236,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3005238,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3
3005240,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3005244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
3005287,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3005688,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3006324,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
301,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
30125BA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
301358A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
30155,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
301778P,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
31,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
31045BD,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
31060BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
31101 TB,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
31101TB,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3117711P,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
3182,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3201OBD,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
33022680,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
330308d ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
34005BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
34030BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
34300BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
35035BD,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
35393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
3599,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
38,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
411ECBCDC0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
41202003,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4301MF,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
486010121,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
54,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59267-1000-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5DCH8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
6023894,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6205,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6R8736,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7218,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7649,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
7677550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8003601048630938,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
8020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
81,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
88p,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
890,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8L,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8i,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90200402,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
A02000779,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
A21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
AB0004,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AB25320,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
ABC,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ABV,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
ABV3025,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
ABV6514,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
ABW2187,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
ABW4740,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ABX6083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ABZ5030,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AC1160BD,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
ACA5777,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
ACC6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AS7162B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AS7166B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B 30011TB,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B 30891TB,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B1D018A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B202109125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
B30011TB,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
BNT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
BNT162,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
BNT162b2 ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
BP ER2659,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
C19AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
C202104056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"CH,- B.: 3599",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH-B 3599,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH. - B. : 1C009A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH.-B 1F1027A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH.-B.,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH.-B.: FC1436 ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH.-B.: FD7958,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH.-B.: FE9174,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH.-B.:ACB5317,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH.-B.:ACB9148,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH.-B.:GF,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CH.B.:EX8680,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CHBACB9148,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CHBER9480,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
COMIRNATY,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
CTMAV519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CTMAV532,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CTMAV543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
D183,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
D53E216,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EC3661,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EJ6789 ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EJ6796 ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EK0009,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EK4237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EK6508,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
EL 9261,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EL00153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EL1404,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EL3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EL7834,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
EL7843,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ELO142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EN 5318,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EN198,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EN3924,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EN62017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EN6208 ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ENG6203,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EP 2166,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3
EP6953,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ER 8731,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ER0866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ER8635,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ER87,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ER8733 ,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ER9480 ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ET,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
ET 3620,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3
EW0101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EW01282,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EW0163,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EW0201,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EW410,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EW4185,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
EW63,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EW6327,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EWO162,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EWO164,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EWO176,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EWO179,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EWO180,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EWO183,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EWO185,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EWO186,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EWO221,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EX3610,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EX65,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
EX8678,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EY 3014,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
EY5456,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EZ9261,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Ej6796,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Ew01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
F71611,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
F7F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FA 5833,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
FA4751,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FA57,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
FA5716,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FA5843,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FA74,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FA8142,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
FA8844,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FC 2336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FC233,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FC35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
FC3592,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FC36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
FC3812,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FC558,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FC9999,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FD 1945,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FD 9234,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FD081,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FD09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
FD093,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FD19,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
FD62,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FD6208,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FD68,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
FD8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FE 2625,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
FE 2707,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FE1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FE2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FE2495,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FE3529,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FE697,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FE7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FE70,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
FE7372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
FF0300,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF2154,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF2382-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
FF2595 ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF2596,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF3391,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF5107,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF5108,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF8333,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF884,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF8841 ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FF9944,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FFO900,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FG2595,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FG3525,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FG7998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
FG9428,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
FG9851,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
FH3023,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FH4572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
FH9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FJ1763,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FJ8763,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FJ8766,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FK 8911,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FK-TEST2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FK-TEST678,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FK0594,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
FK0595,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FK0723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FK6304 ,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FK9414-D00140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
FL 4574,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
FL 8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
FL3221,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
FL7646,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FM295,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FM2967,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FM7374,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FM93,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
